"YEAR","GEAR","REGION","OCEAN","FAO_AREA","SPECIES","QUANTITY"
"1952","LL","Indian Ocean, Eastern","Indian","57","YFT",0
"1952","LL","Indian Ocean, Eastern","Indian","57","BET",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SKJ",0
"1952","LL","Indian Ocean, Eastern","Indian","57","ALB",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SBF",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SWO",0
"1952","LL","Indian Ocean, Eastern","Indian","57","BLM",0
"1952","LL","Indian Ocean, Eastern","Indian","57","BUM",0
"1952","LL","Indian Ocean, Eastern","Indian","57","MLS",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SFA",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SSP",0
"1952","LL","Indian Ocean, Eastern","Indian","57","BILL",0
"1952","LL","Indian Ocean, Eastern","Indian","57","TUX",0
"1952","LL","Indian Ocean, Eastern","Indian","57","BSH",0
"1952","LL","Indian Ocean, Eastern","Indian","57","FAL",0
"1952","LL","Indian Ocean, Eastern","Indian","57","MSK",0
"1952","LL","Indian Ocean, Eastern","Indian","57","OCS",0
"1952","LL","Indian Ocean, Eastern","Indian","57","POR",0
"1952","LL","Indian Ocean, Eastern","Indian","57","RSK",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SPY",0
"1952","LL","Indian Ocean, Eastern","Indian","57","THR",0
"1952","LL","Indian Ocean, Eastern","Indian","57","SKH",0
"1952","LL","Indian Ocean, Eastern","Indian","57","NTAD",0
"1952","LL","Indian Ocean, Eastern","Indian","57","LOT",0
"1952","LL","Indian Ocean, Eastern","Indian","57","FRZ",0
"1952","LL","Indian Ocean, Eastern","Indian","57","KAW",0
"1952","LL","Indian Ocean, Eastern","Indian","57","COM",0
"1953","LL","Indian Ocean, Eastern","Indian","57","YFT",0
"1953","LL","Indian Ocean, Eastern","Indian","57","BET",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SKJ",0
"1953","LL","Indian Ocean, Eastern","Indian","57","ALB",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SBF",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SWO",0
"1953","LL","Indian Ocean, Eastern","Indian","57","BLM",0
"1953","LL","Indian Ocean, Eastern","Indian","57","BUM",0
"1953","LL","Indian Ocean, Eastern","Indian","57","MLS",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SFA",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SSP",0
"1953","LL","Indian Ocean, Eastern","Indian","57","BILL",0
"1953","LL","Indian Ocean, Eastern","Indian","57","TUX",0
"1953","LL","Indian Ocean, Eastern","Indian","57","BSH",0
"1953","LL","Indian Ocean, Eastern","Indian","57","FAL",0
"1953","LL","Indian Ocean, Eastern","Indian","57","MSK",0
"1953","LL","Indian Ocean, Eastern","Indian","57","OCS",0
"1953","LL","Indian Ocean, Eastern","Indian","57","POR",0
"1953","LL","Indian Ocean, Eastern","Indian","57","RSK",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SPY",0
"1953","LL","Indian Ocean, Eastern","Indian","57","THR",0
"1953","LL","Indian Ocean, Eastern","Indian","57","SKH",0
"1953","LL","Indian Ocean, Eastern","Indian","57","NTAD",0
"1953","LL","Indian Ocean, Eastern","Indian","57","LOT",0
"1953","LL","Indian Ocean, Eastern","Indian","57","FRZ",0
"1953","LL","Indian Ocean, Eastern","Indian","57","KAW",0
"1953","LL","Indian Ocean, Eastern","Indian","57","COM",0
"1953","LL",NA,NA,NA,"YFT",0
"1953","LL",NA,NA,NA,"BET",0
"1953","LL",NA,NA,NA,"SKJ",0
"1953","LL",NA,NA,NA,"ALB",0
"1953","LL",NA,NA,NA,"SBF",0
"1953","LL",NA,NA,NA,"SWO",0
"1953","LL",NA,NA,NA,"BLM",0
"1953","LL",NA,NA,NA,"BUM",0
"1953","LL",NA,NA,NA,"MLS",0
"1953","LL",NA,NA,NA,"SFA",0
"1953","LL",NA,NA,NA,"SSP",0
"1953","LL",NA,NA,NA,"BILL",0
"1953","LL",NA,NA,NA,"TUX",0
"1953","LL",NA,NA,NA,"BSH",0
"1953","LL",NA,NA,NA,"FAL",0
"1953","LL",NA,NA,NA,"MSK",0
"1953","LL",NA,NA,NA,"OCS",0
"1953","LL",NA,NA,NA,"POR",0
"1953","LL",NA,NA,NA,"RSK",0
"1953","LL",NA,NA,NA,"SPY",0
"1953","LL",NA,NA,NA,"THR",0
"1953","LL",NA,NA,NA,"SKH",0
"1953","LL",NA,NA,NA,"NTAD",0
"1953","LL",NA,NA,NA,"LOT",0
"1953","LL",NA,NA,NA,"FRZ",0
"1953","LL",NA,NA,NA,"KAW",0
"1953","LL",NA,NA,NA,"COM",0
"1954","LL","Indian Ocean, Eastern","Indian","57","YFT",0
"1954","LL","Indian Ocean, Eastern","Indian","57","BET",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SKJ",0
"1954","LL","Indian Ocean, Eastern","Indian","57","ALB",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SBF",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SWO",0
"1954","LL","Indian Ocean, Eastern","Indian","57","BLM",0
"1954","LL","Indian Ocean, Eastern","Indian","57","BUM",0
"1954","LL","Indian Ocean, Eastern","Indian","57","MLS",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SFA",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SSP",0
"1954","LL","Indian Ocean, Eastern","Indian","57","BILL",0
"1954","LL","Indian Ocean, Eastern","Indian","57","TUX",0
"1954","LL","Indian Ocean, Eastern","Indian","57","BSH",0
"1954","LL","Indian Ocean, Eastern","Indian","57","FAL",0
"1954","LL","Indian Ocean, Eastern","Indian","57","MSK",0
"1954","LL","Indian Ocean, Eastern","Indian","57","OCS",0
"1954","LL","Indian Ocean, Eastern","Indian","57","POR",0
"1954","LL","Indian Ocean, Eastern","Indian","57","RSK",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SPY",0
"1954","LL","Indian Ocean, Eastern","Indian","57","THR",0
"1954","LL","Indian Ocean, Eastern","Indian","57","SKH",0
