"GLOBAL","YEAR","SPECIES","QUANTITY"
"GLOBAL",1950-01-01,"ABG",4000
"GLOBAL",1950-01-01,"ABK",0
"GLOBAL",1950-01-01,"ABP",100
"GLOBAL",1950-01-01,"ABS",48668
"GLOBAL",1950-01-01,"ABX",14895
"GLOBAL",1950-01-01,"AES",0
"GLOBAL",1950-01-01,"AFT",0
"GLOBAL",1950-01-01,"AKS",42100
"GLOBAL",1950-01-01,"ALB",103678
"GLOBAL",1950-01-01,"ALC",0
"GLOBAL",1950-01-01,"ALE",39567
"GLOBAL",1950-01-01,"ALF",0
"GLOBAL",1950-01-01,"ALH",0
"GLOBAL",1950-01-01,"ALJ",0
"GLOBAL",1950-01-01,"ALK",154200
"GLOBAL",1950-01-01,"ALL",0
"GLOBAL",1950-01-01,"ALR",0
"GLOBAL",1950-01-01,"ALV",0
"GLOBAL",1950-01-01,"ALX",0
"GLOBAL",1950-01-01,"AMB",0
"GLOBAL",1950-01-01,"AMX",35180
"GLOBAL",1950-01-01,"ANA",7800
"GLOBAL",1950-01-01,"ANC",0
"GLOBAL",1950-01-01,"ANE",163000
"GLOBAL",1950-01-01,"ANF",0
"GLOBAL",1950-01-01,"ANG",37
"GLOBAL",1950-01-01,"ANI",0
"GLOBAL",1950-01-01,"ANN",0
"GLOBAL",1950-01-01,"ANT",0
"GLOBAL",1950-01-01,"ANX",27000
"GLOBAL",1950-01-01,"AOM",0
"GLOBAL",1950-01-01,"APH",0
"GLOBAL",1950-01-01,"APL",47570
"GLOBAL",1950-01-01,"APS",9392
"GLOBAL",1950-01-01,"AQZ",0
"GLOBAL",1950-01-01,"ARA",0
"GLOBAL",1950-01-01,"ARF",300
"GLOBAL",1950-01-01,"ARG",0
"GLOBAL",1950-01-01,"ARI",0
"GLOBAL",1950-01-01,"ARK",1000
"GLOBAL",1950-01-01,"ARQ",0
"GLOBAL",1950-01-01,"ARS",200
"GLOBAL",1950-01-01,"ARV",0
"GLOBAL",1950-01-01,"ASA",2000
"GLOBAL",1950-01-01,"ASD",0
"GLOBAL",1950-01-01,"ASH",400
"GLOBAL",1950-01-01,"ASK",0
"GLOBAL",1950-01-01,"ASN",40
"GLOBAL",1950-01-01,"ASP",51800
"GLOBAL",1950-01-01,"ASU",0
"GLOBAL",1950-01-01,"ATK",150100
"GLOBAL",1950-01-01,"ATX",0
"GLOBAL",1950-01-01,"AVR",0
"GLOBAL",1950-01-01,"AYS",487
"GLOBAL",1950-01-01,"AYW",131
"GLOBAL",1950-01-01,"BAH",10500
"GLOBAL",1950-01-01,"BAJ",4500
"GLOBAL",1950-01-01,"BAL",0
"GLOBAL",1950-01-01,"BAP",900
"GLOBAL",1950-01-01,"BAR",4324
"GLOBAL",1950-01-01,"BAU",0
"GLOBAL",1950-01-01,"BAX",300
"GLOBAL",1950-01-01,"BBF",0
"GLOBAL",1950-01-01,"BBM",0
"GLOBAL",1950-01-01,"BCL",1800
"GLOBAL",1950-01-01,"BCW",0
"GLOBAL",1950-01-01,"BDM",1166
"GLOBAL",1950-01-01,"BEH",0
"GLOBAL",1950-01-01,"BEL",106
"GLOBAL",1950-01-01,"BEN",0
"GLOBAL",1950-01-01,"BEP",35016
"GLOBAL",1950-01-01,"BET",829
"GLOBAL",1950-01-01,"BFS",4600
"GLOBAL",1950-01-01,"BFT",26088
"GLOBAL",1950-01-01,"BFU",0
"GLOBAL",1950-01-01,"BIB",2300
"GLOBAL",1950-01-01,"BIC",20
"GLOBAL",1950-01-01,"BIG",100
"GLOBAL",1950-01-01,"BIL",0
"GLOBAL",1950-01-01,"BIP",58
"GLOBAL",1950-01-01,"BIS",3000
"GLOBAL",1950-01-01,"BKJ",0
"GLOBAL",1950-01-01,"BLC",2000
"GLOBAL",1950-01-01,"BLE",0
"GLOBAL",1950-01-01,"BLF",900
"GLOBAL",1950-01-01,"BLI",1000
"GLOBAL",1950-01-01,"BLL",700
"GLOBAL",1950-01-01,"BLM",4081
"GLOBAL",1950-01-01,"BLP",1300
"GLOBAL",1950-01-01,"BLU",6626
"GLOBAL",1950-01-01,"BLW",6182
"GLOBAL",1950-01-01,"BOA",16300
"GLOBAL",1950-01-01,"BOC",0
"GLOBAL",1950-01-01,"BOE",0
"GLOBAL",1950-01-01,"BOF",0
"GLOBAL",1950-01-01,"BOG",13500
"GLOBAL",1950-01-01,"BON",14842
"GLOBAL",1950-01-01,"BOP",100
"GLOBAL",1950-01-01,"BOR",0
"GLOBAL",1950-01-01,"BOS",300
"GLOBAL",1950-01-01,"BOW",0
"GLOBAL",1950-01-01,"BRB",1000
"GLOBAL",1950-01-01,"BRD",0
"GLOBAL",1950-01-01,"BRF",200
"GLOBAL",1950-01-01,"BRG",500
"GLOBAL",1950-01-01,"BRO",0
"GLOBAL",1950-01-01,"BRS",300
"GLOBAL",1950-01-01,"BRT",0
"GLOBAL",1950-01-01,"BRU",0
"GLOBAL",1950-01-01,"BRZ",0
"GLOBAL",1950-01-01,"BSB",5886
"GLOBAL",1950-01-01,"BSC",0
"GLOBAL",1950-01-01,"BSE",0
"GLOBAL",1950-01-01,"BSF",0
"GLOBAL",1950-01-01,"BSH",47
"GLOBAL",1950-01-01,"BSK",2700
"GLOBAL",1950-01-01,"BSP",1600
"GLOBAL",1950-01-01,"BSR",24000
"GLOBAL",1950-01-01,"BSS",300
"GLOBAL",1950-01-01,"BSX",3100
"GLOBAL",1950-01-01,"BSZ",100
"GLOBAL",1950-01-01,"BTH",0
"GLOBAL",1950-01-01,"BUA",300
"GLOBAL",1950-01-01,"BUC",40500
"GLOBAL",1950-01-01,"BUF",11735
"GLOBAL",1950-01-01,"BUK",0
"GLOBAL",1950-01-01,"BUM",709
"GLOBAL",1950-01-01,"BUP",5500
"GLOBAL",1950-01-01,"BUR",300
"GLOBAL",1950-01-01,"BUX",24568
"GLOBAL",1950-01-01,"BVG",0
"GLOBAL",1950-01-01,"BWA",0
"GLOBAL",1950-01-01,"BXD",0
"GLOBAL",1950-01-01,"CAA",14498
"GLOBAL",1950-01-01,"CAB",0
"GLOBAL",1950-01-01,"CAE",0
"GLOBAL",1950-01-01,"CAF",10692
"GLOBAL",1950-01-01,"CAG",5100
"GLOBAL",1950-01-01,"CAN",1800
"GLOBAL",1950-01-01,"CAP",28600
"GLOBAL",1950-01-01,"CAS",0
"GLOBAL",1950-01-01,"CAT",8500
"GLOBAL",1950-01-01,"CAX",40358
"GLOBAL",1950-01-01,"CBA",25
"GLOBAL",1950-01-01,"CBC",0
"GLOBAL",1950-01-01,"CBM",0
"GLOBAL",1950-01-01,"CBR",0
"GLOBAL",1950-01-01,"CCB",0
"GLOBAL",1950-01-01,"CCE",0
"GLOBAL",1950-01-01,"CCL",0
"GLOBAL",1950-01-01,"CCN",0
"GLOBAL",1950-01-01,"CCO",0
"GLOBAL",1950-01-01,"CCP",0
"GLOBAL",1950-01-01,"CCT",0
"GLOBAL",1950-01-01,"CDA",0
"GLOBAL",1950-01-01,"CDL",0
"GLOBAL",1950-01-01,"CDP",0
