"COUNTRY","ISO3","UN_CODE","FAO_AREA_CODE","REGION","OCEAN"
"Afghanistan","AFG",4,4,"Asia - Inland waters","Inland Waters"
"Albania","ALB",8,5,"Europe - Inland waters","Inland Waters"
"Albania","ALB",8,37,"Mediterranean and Black Sea","Atlantic  "
"Algeria","DZA",12,1,"Africa - Inland waters","Inland Waters"
"Algeria","DZA",12,37,"Mediterranean and Black Sea","Atlantic  "
"American Samoa","ASM",16,6,"Oceania - Inland waters","Inland Waters"
"American Samoa","ASM",16,77,"Pacific, Eastern Central","Pacific  "
"Andorra","AND",20,5,"Europe - Inland waters","Inland Waters"
"Angola","AGO",24,1,"Africa - Inland waters","Inland Waters"
"Angola","AGO",24,34,"Atlantic, Eastern Central","Atlantic  "
"Angola","AGO",24,47,"Atlantic, Southeast","Atlantic  "
"Antigua and Barbuda","ATG",28,2,"America, North - Inland waters","Inland Waters"
"Antigua and Barbuda","ATG",28,31,"Atlantic, Western Central","Atlantic  "
"Azerbaijan","AZE",31,4,"Asia - Inland waters","Inland Waters"
"Argentina","ARG",32,3,"America, South - Inland waters","Inland Waters"
"Argentina","ARG",32,34,"Atlantic, Eastern Central","Atlantic  "
"Argentina","ARG",32,41,"Atlantic, Southwest","Atlantic  "
"Argentina","ARG",32,48,"Atlantic, Antarctic","Southern"
"Argentina","ARG",32,88,"Pacific, Antarctic","Southern"
"Argentina","ARG",32,98,"Antarctic areas nei","Southern"
"Argentina","ARG",32,99,"Marine areas outside the Antarctic","Inland Waters"
"Australia","AUS",36,6,"Oceania - Inland waters","Inland Waters"
"Australia","AUS",36,41,"Atlantic, Southwest","Atlantic  "
"Australia","AUS",36,57,"Indian Ocean, Eastern","Indian  "
"Australia","AUS",36,58,"Indian Ocean, Antarctic","Southern"
"Australia","AUS",36,71,"Pacific, Western Central","Pacific  "
"Australia","AUS",36,81,"Pacific, Southwest","Pacific  "
"Australia","AUS",36,88,"Pacific, Antarctic","Southern"
"Australia","AUS",36,99,"Marine areas outside the Antarctic","Inland Waters"
"Austria","AUT",40,5,"Europe - Inland waters","Inland Waters"
"Bahamas","BHS",44,2,"America, North - Inland waters","Inland Waters"
"Bahamas","BHS",44,31,"Atlantic, Western Central","Atlantic  "
"Bahamas","BHS",44,34,"Atlantic, Eastern Central","Atlantic  "
"Bahamas","BHS",44,99,"Marine areas outside the Antarctic","Inland Waters"
"Bahrain","BHR",48,4,"Asia - Inland waters","Inland Waters"
"Bahrain","BHR",48,51,"Indian Ocean, Western","Indian  "
"Bangladesh","BGD",50,4,"Asia - Inland waters","Inland Waters"
"Bangladesh","BGD",50,57,"Indian Ocean, Eastern","Indian  "
"Armenia","ARM",51,4,"Asia - Inland waters","Inland Waters"
"Barbados","BRB",52,2,"America, North - Inland waters","Inland Waters"
"Barbados","BRB",52,31,"Atlantic, Western Central","Atlantic  "
"Belgium","BEL",56,5,"Europe - Inland waters","Inland Waters"
"Belgium","BEL",56,27,"Atlantic, Northeast","Atlantic  "
"Belgium","BEL",56,99,"Marine areas outside the Antarctic","Inland Waters"
"Bermuda","BMU",60,2,"America, North - Inland waters","Inland Waters"
"Bermuda","BMU",60,31,"Atlantic, Western Central","Atlantic  "
"Bermuda","BMU",60,77,"Pacific, Eastern Central","Pacific  "
"Bermuda","BMU",60,87,"Pacific, Southeast","Pacific  "
"Bhutan","BTN",64,4,"Asia - Inland waters","Inland Waters"
"Bolivia (Plurinat.State)","BOL",68,3,"America, South - Inland waters","Inland Waters"
"Bosnia and Herzegovina","BIH",70,5,"Europe - Inland waters","Inland Waters"
"Bosnia and Herzegovina","BIH",70,37,"Mediterranean and Black Sea","Atlantic  "
"Botswana","BWA",72,1,"Africa - Inland waters","Inland Waters"
"Brazil","BRA",76,3,"America, South - Inland waters","Inland Waters"
"Brazil","BRA",76,41,"Atlantic, Southwest","Atlantic  "
"Brazil","BRA",76,99,"Marine areas outside the Antarctic","Inland Waters"
