"Year","MonthStart","Gear","Fleet","EffortUnits","QualityCode","Source","Region","Ocean","FAO_AREA_CODE","effort"
1992,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,600
1992,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",900
1992,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",12933.3333333333
1992,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",27700
1992,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,2800
1992,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",37450
1992,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,12000
1992,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",9000
1992,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",26000
1992,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,6000
1992,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",14733.3333333333
1992,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",10750
1993,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,18900
1993,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",21840
1993,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",67688.8571428571
1993,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,17890
1993,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",61877.6666666667
1993,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,33512
1993,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",156753.333333333
1993,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",82896.8
1993,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",142548
1993,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",4000
1993,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",1800
1993,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",21324
1994,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,4220
1994,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",8135.25
1994,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,1946.66666666667
1994,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",11676.5
1994,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,1833.33333333333
1994,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",31451.6666666667
1994,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,1755
1994,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",23503.25
1994,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,22730
1994,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7500
1994,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,140
1994,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,11540
1994,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",11100
1994,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,10915
1994,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",19075
1994,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,5910
1994,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",13160
1994,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,16465
1994,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",2300
1994,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,46805
1994,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",1700
1994,12,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,106320
1995,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",12512.5
1995,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,12587.5
1995,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7400
1995,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,600
1995,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",10942.5
1995,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,1950
1995,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",10712.5
1995,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,8508
1995,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",4368.16666666667
1995,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,72800
1995,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",9776.66666666667
1995,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,45200
1995,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",10145
1995,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,13915
1995,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",18923.3333333333
1995,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,12310.6666666667
1995,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",35111.6666666667
1995,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,53517
1995,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",35925
1995,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,16010
1995,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",15726.6666666667
1995,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,20928
1995,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",9166.66666666667
1995,12,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,83350
1996,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",16645
1996,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,69320
1996,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",6650
1996,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,8790
1996,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",6417.5
1996,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,15270
1996,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",16790
1996,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,52530
1996,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7806
1996,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,41680
1996,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",5647.33333333333
1996,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,27759
1996,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",8120
1996,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,15997
1996,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",12671.3333333333
1996,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,9553
1996,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",8133.33333333333
1996,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,15778.5
1996,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",17290
1996,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,88070
1996,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",14210
1996,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,74427.5
1996,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7370
1996,12,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,100780
1997,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",5962.5
1997,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,18681
1997,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",16268
1997,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,700
1997,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",23980
1997,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,2300
1997,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7260
1997,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,13915
1997,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",6927.25
1997,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,31188.5
1997,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",6245
1997,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,45345
1997,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",9850
1997,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,9014.5
1997,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,12683.3333333333
1997,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",10421.5
1997,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7980
1997,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,14248.6666666667
1997,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,17405.3333333333
1997,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",12340
1997,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",19584
1997,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,56690
1997,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",19902
1997,12,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,55101
1998,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",12682.5
1998,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,8187.5
1998,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",15924
1998,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,237.5
1998,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",17584.25
1998,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,7800
1998,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,22925
1998,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",7020
1998,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,42703
1998,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",13672.5
1998,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,29470
1998,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",5180
1998,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",36060
1998,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,47045
1998,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",63551
1998,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,93050
1998,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",40656.6666666667
1998,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,51600
1998,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",27619
1998,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,78210
1998,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",25665
1998,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,59200
1998,12,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",26504
1998,12,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,27028.3333333333
1999,1,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",35201.6666666667
1999,1,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,9725
1999,2,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",44728.75
1999,2,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,1200
1999,3,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",31985
1999,3,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,9033.33333333333
1999,4,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",33280
1999,4,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,44216.6666666667
1999,5,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",49075
1999,5,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,35116.6666666667
1999,6,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",35778.3333333333
1999,6,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,14396.6666666667
1999,7,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",46292.8571428571
1999,7,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,13220
1999,8,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",40708.3333333333
1999,8,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,23356.6666666667
1999,9,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",51665.5714285714
1999,9,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,12757.5
1999,10,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",68598.1428571429
1999,10,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,25975
1999,11,"ELL","AUS","HOOKS",3,"LO","Indian Ocean, Eastern","Indian","57",94048.4
1999,11,"ELL","AUS","HOOKS",3,"LO",NA,NA,NA,20695
