"OCEAN","REGION","MAJOR_GROUP","ORDER","FAMILY","SPECIES"
"Atlantic","Atlantic, Southwest","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Atlantic, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Indian Ocean, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Southern","Pacific, Antarctic","CRUSTACEA","EUPHAUSIACEA","EUPHAUSIIDAE","KRI"
"Atlantic","Atlantic, Northeast","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","CRUSTACEA MISCELLANEA","","CRU"
"Atlantic","Mediterranean and Black Sea","MAMMALIA","ODONTOCETI","PHOCOENIDAE","PHR"
"Atlantic","Atlantic, Northeast","MAMMALIA","ODONTOCETI","MONODONTIDAE","BEL"
"Atlantic","Atlantic, Southeast","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Indian","Indian Ocean, Western","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Pacific","Pacific, Western Central","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Pacific","Pacific, Southeast","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Atlantic","Atlantic, Northwest","MOLLUSCA","CEPHALOPODA","LOLIGINIDAE","SQL"
"Pacific","Pacific, Northwest","MAMMALIA","PINNIPEDIA","PHOCIDAE","SST"
"Indian","Indian Ocean, Western","PISCES","PISCES MISCELLANEA","","SKX"
"Indian","Indian Ocean, Eastern","PISCES","PISCES MISCELLANEA","","SKX"
"Atlantic","Atlantic, Eastern Central","PISCES","PISCES MISCELLANEA","","MZZ"
"Indian","Indian Ocean, Western","PISCES","PISCES MISCELLANEA","","MZZ"
"Indian","Indian Ocean, Eastern","PISCES","PISCES MISCELLANEA","","MZZ"
"Pacific","Pacific, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Pacific","Pacific, Southeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","SKJ"
"Pacific","Pacific, Northwest","MAMMALIA","ODONTOCETI","MONODONTIDAE","BEL"
"Southern","Antarctic areas nei","MAMMALIA","ODONTOCETI","","ODN"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","MLS"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"Atlantic","Atlantic, Southeast","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","WHM"
"","Africa - Inland waters","AMPHIBIA, REPTILIA","CROCODILIA","CROCODYLIDAE","CRI"
"Indian","Indian Ocean, Western","MOLLUSCA","BIVALVIA","PTERIIDAE","OSH"
"Indian","Indian Ocean, Western","PLANTAE AQUATICAE","PLANTAE AQUATICAE MISCELLANEA","","APL"
"Atlantic","Atlantic, Northeast","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Mediterranean and Black Sea","PISCES","SCOMBROIDEI","SCOMBRIDAE","BFT"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","REPTANTIA","PALINURIDAE","CRW"
"Pacific","Pacific, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","PBF"
"Atlantic","Atlantic, Western Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Eastern Central","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Atlantic","Atlantic, Southwest","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Indian","Indian Ocean, Eastern","PISCES","SCOMBROIDEI","SCOMBRIDAE","ALB"
"Pacific","Pacific, Southwest","PISCES","OTHER PERCIFORMES","SPHYRAENIDAE","BAR"
"Atlantic","Atlantic, Eastern Central","PISCES","PISCES MISCELLANEA","","PPX"
"Atlantic","Atlantic, Western Central","PISCES","PISCES MISCELLANEA","","MZZ"
"Atlantic","Atlantic, Western Central","CRUSTACEA","REPTANTIA","PALINURIDAE","SLC"
"Atlantic","Atlantic, Western Central","MOLLUSCA","GASTROPODA","STROMBIDAE","CON"
"Atlantic","Atlantic, Eastern Central","PISCES","PLEURONECTIFORMES","","FLX"
"Atlantic","Atlantic, Eastern Central","PISCES","GADIFORMES","MERLUCCIIDAE","HKB"
"Atlantic","Atlantic, Southeast","PISCES","GADIFORMES","MERLUCCIIDAE","HKC"
"Indian","Indian Ocean, Western","PISCES","SCOMBROIDEI","ISTIOPHORIDAE","SSP"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","NATANTIA","PENAEIDAE","PEN"
"Atlantic","Atlantic, Eastern Central","CRUSTACEA","NATANTIA","","DCP"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","SEPIIDAE","CTL"
"Atlantic","Atlantic, Eastern Central","MOLLUSCA","CEPHALOPODA","OMMASTREPHIDAE","SQU"
"Atlantic","Mediterranean and Black Sea","PISCES","PISCES MISCELLANEA","","PPX"
