value,geographic_identifier,geometry
"1088641.98","6100000","MULTIPOLYGON Z(((0 0 0,0 5 0,5 5 0,5 0 0,0 0 0)))"
"230678.35","6100005","MULTIPOLYGON Z(((5 0 0,5 5 0,5.425 5 0,5.4519 4.923 0,5.4853 4.8355 0,5.4975 4.8058 0,5.5236 4.7575 0,5.5661 4.68 0,5.5824 4.6558 0,5.5993 4.6354 0,5.6694 4.5583 0,5.7369 4.4894 0,5.8686 4.3814 0,5.9358 4.3383 0,6.0578 4.2881 0,6.1117 4.2728 0,6.1722 4.2828 0,6.215 4.3058 0,6.2331 4.3861 0,6.2528 4.45 0,6.3227 4.4244 0,6.2823 4.3765 0,6.2533 4.3369 0,6.2512 4.3016 0,6.3006 4.2946 0,6.405 4.3122 0,6.4936 4.3222 0,6.5744 4.3267 0,6.6306 4.3255 0,6.6924 4.3318 0,6.6876 4.3932 0,6.6649 4.4279 0,6.6569 4.5075 0,6.7324 4.6035 0,6.7422 4.5756 0,6.7343 4.5514 0,6.72 4.5242 0,6.7124 4.4967 0,6.7092 4.4572 0,6.7205 4.3482 0,6.7383 4.3367 0,6.7942 4.3367 0,6.8486 4.3483 0,6.8508 4.3775 0,6.835 4.415 0,6.8167 4.4622 0,6.8064 4.4922 0,6.7628 4.7635 0,6.8217 4.5242 0,6.8717 4.3926 0,6.9614 4.3722 0,7.0087 4.3713 0,7.0238 4.3869 0,7.0118 4.4133 0,6.9986 4.4372 0,6.9875 4.4594 0,6.9789 4.4783 0,6.9064 4.6539 0,6.8997 4.6769 0,6.9639 4.7249 0,7.0093 4.7008 0,7.0393 4.6443 0,7.0275 4.6231 0,7.0033 4.5753 0,7.0197 4.4978 0,7.0428 4.4381 0,7.0731 4.4347 0,7.1652 4.474 0,7.1794 4.5069 0,7.1761 4.5844 0,7.1697 4.6044 0,7.148 4.6354 0,7.1183 4.6525 0,7.0907 4.6698 0,7.0595 4.7191 0,7.0743 4.753 0,7.1797 4.6272 0,7.2386 4.5636 0,7.2725 4.5578 0,7.4472 4.5503 0,7.5061 4.5698 0,7.5287 4.6041 0,7.5165 4.6219 0,7.5238 4.6907 0,7.5461 4.7056 0,7.5504 4.7066 0,7.5333 4.6727 0,7.5305 4.6267 0,7.5372 4.54 0,7.5614 4.5256 0,7.6739 4.4969 0,7.6953 4.4975 0,7.7236 4.5022 0,7.7686 4.5186 0,8.0225 4.5514 0,8.1183 4.5506 0,8.2699 4.5424 0,8.2937 4.5475 0,8.3594 4.632 0,8.314 4.759 0,8.2976 4.7803 0,8.2706 4.8079 0,8.2594 4.826 0,8.2717 4.8427 0,8.2747 4.8567 0,8.3428 4.8061 0,8.4017 4.7503 0,8.4786 4.7039 0,8.5069 4.6999 0,8.5282 4.7017 0,8.541 4.7197 0,8.5368 4.7436 0,8.5343 4.7678 0,8.5532 4.8065 0,8.5852 4.8204 0,8.5917 4.8109 0,8.5836 4.8051 0,8.5256 4.6686 0,8.5106 4.6286 0,8.5024 4.5544 0,8.5084 4.5235 0,8.5374 4.5037 0,8.7142 4.5026 0,8.7242 4.5221 0,8.7117 4.5438 0,8.6867 4.5535 0,8.675 4.5847 0,8.6681 4.6439 0,8.6664 4.6814 0,8.7261 4.5762 0,8.7849 4.5408 0,8.8736 4.5484 0,8.8647 4.5911 0,8.8414 4.6121 0,8.8413 4.6378 0,8.8986 4.5883 0,8.9318 4.5385 0,8.9236 4.5158 0,8.9081 4.4939 0,8.8975 4.4507 0,8.9055 4.3722 0,8.9244 4.2971 0,8.9411 4.2594 0,8.9607 4.2429 0,8.9882 4.2064 0,8.9833 4.1694 0,8.9767 4.1486 0,8.9741 4.0998 0,9.0394 4.0611 0,9.1025 4.0317 0,9.215 3.9983 0,9.31 3.9422 0,9.3316 3.9221 0,9.3449 3.9125 0,9.3728 3.9025 0,9.3978 3.9 0,9.435 3.8995 0,9.4683 3.9081 0,9.5284 3.9824 0,9.5075 4.0184 0,9.4558 4.0644 0,9.4496 4.0727 0,9.4486 4.0775 0,9.4884 4.1129 0,9.5007 4.1016 0,9.4987 4.0694 0,9.5283 4.03 0,9.6131 3.9494 0,9.6778 3.9011 0,9.7225 3.8653 0,9.7217 3.8425 0,9.6406 3.8572 0,9.5431 3.8115 0,9.554 3.7896 0,9.6367 3.6467 0,9.6271 3.5972 0,9.6655 3.5937 0,9.7085 3.5996 0,9.7458 3.6176 0,9.7359 3.5879 0,9.6617 3.5312 0,9.6978 3.5067 0,9.7219 3.4897 0,9.8119 3.3967 0,9.8519 3.3419 0,9.8783 3.3025 0,9.9279 3.2683 0,9.9133 3.2471 0,9.9286 3.1858 0,9.9356 3.1661 0,9.9539 3.1161 0,9.9651 3.0852 0,9.9622 3.0589 0,9.9525 3.0331 0,9.9352 3.006 0,9.9099 2.984 0,9.8962 2.9557 0,9.8744 2.8469 0,9.8233 2.5667 0,9.82 2.5422 0,9.8144 2.4817 0,9.8167 2.4606 0,9.8214 2.4264 0,9.8167 2.3497 0,9.8118 2.3437 0,9.7726 2.3194 0,9.7781 2.1178 0,9.7992 1.9967 0,9.8134 1.9298 0,9.795 1.8889 0,9.7105 1.7604 0,9.6814 1.7411 0,9.6403 1.7006 0,9.6119 1.6603 0,9.611 1.6335 0,9.6364 1.5878 0,9.5606 1.4925 0,9.49 1.4268 0,9.458 1.3898 0,9.4258 1.2919 0,9.3603 1.1747 0,9.3647 1.1494 0,9.4078 1.1063 0,9.4839 1.1333 0,9.5175 1.1331 0,9.547 1.1213 0,9.5713 1.0744 0,9.6755 1.0889 0,9.7022 1.0972 0,9.7474 1.1007 0,9.7847 1.0944 0,9.8459 1.0747 0,9.8017 1.0278 0,9.804 1.0026 0,9.7624 1.0484 0,9.7375 1.0581 0,9.676 1.0556 0,9.6028 1.0203 0,9.572 0.9966 0,9.56 0.956 0,9.5991 0.8447 0,9.6171 0.8201 0,9.625 0.7839 0,9.6328 0.5822 0,9.6304 0.5501 0,9.6 0.4811 0,9.5819 0.4975 0,9.5847 0.5214 0,9.5876 0.5721 0,9.584 0.5947 0,9.5583 0.6478 0,9.5422 0.6725 0,9.5178 0.6761 0,9.3151 0.6215 0,9.3051 0.581 0,9.3086 0.5264 0,9.3304 0.5257 0,9.3535 0.5284 0,9.4071 0.4793 0,9.4189 0.4536 0,9.4414 0.4017 0,9.4603 0.3594 0,9.4977 0.2937 0,9.55 0.2985 0,9.5908 0.2751 0,9.6805 0.2197 0,9.7678 0.1856 0,9.7883 0.1817 0,9.8265 0.1786 0,9.8581 0.1839 0,9.9211 0.1853 0,9.7897 0.1317 0,9.7465 0.1162 0,9.7064 0.1286 0,9.5633 0.1628 0,9.4894 0.1644 0,9.4669 0.1672 0,9.3817 0.2036 0,9.3725 0.3283 0,9.3508 0.362 0,9.3058 0.3174 0,9.3022 0.2842 0,9.32 0.1758 0,9.3417 0.0656 0,9.3509 0.0078 0,9.3496 0 0,5 0 0),(6.5617 0.0272 0,6.6594 0.1024 0,6.7386 0.2089 0,6.7515 0.2268 0,6.7556 0.2397 0,6.7663 0.2875 0,6.7514 0.3303 0,6.7167 0.3775 0,6.6878 0.4022 0,6.6625 0.4088 0,6.6178 0.4036 0,6.5336 0.3439 0,6.4918 0.3069 0,6.4672 0.2597 0,6.4651 0.1958 0,6.5075 0.0417 0,6.5165 0.0197 0,6.5239 0.0183 0,6.5617 0.0272 0),(7.423 1.5561 0,7.4628 1.6347 0,7.4635 1.6762 0,7.4511 1.6931 0,7.4046 1.7013 0,7.3731 1.6875 0,7.3279 1.61 0,7.3381 1.5772 0,7.3478 1.565 0,7.3992 1.5306 0,7.423 1.5561 0),(8.8567 3.4994 0,8.8661 3.5172 0,8.8744 3.5294 0,8.9203 3.5931 0,8.9433 3.6147 0,8.9505 3.6247 0,8.9547 3.6342 0,8.9608 3.6553 0,8.9622 3.6744 0,8.9601 3.7018 0,8.9356 3.7367 0,8.923 3.745 0,8.9114 3.7512 0,8.7394 3.7633 0,8.6861 3.7417 0,8.645 3.6828 0,8.625 3.65 0,8.6258 3.6431 0,8.6244 3.5953 0,8.6194 3.5527 0,8.5867 3.4761 0,8.5819 3.4672 0,8.5692 3.4561 0,8.5544 3.4536 0,8.5436 3.4564 0,8.5339 3.4606 0,8.5222 3.4625 0,8.4692 3.4601 0,8.4578 3.4475 0,8.4497 3.4353 0,8.4344 3.3956 0,8.4311 3.3853 0,8.4283 3.3744 0,8.4242 3.3469 0,8.4246 3.3369 0,8.4292 3.3189 0,8.4461 3.2744 0,8.4585 3.2593 0,8.4819 3.2483 0,8.4975 3.2436 0,8.6819 3.1971 0,8.6953 3.1994 0,8.7717 3.3065 0,8.7778 3.3208 0,8.78 3.3325 0,8.8025 3.3961 0,8.8567 3.4994 0),(7.2036 4.3806 0,7.2144 4.3828 0,7.2989 4.4044 0,7.3099 4.4106 0,7.3167 4.4725 0,7.2936 4.4872 0,7.2483 4.5114 0,7.2261 4.52 0,7.1358 4.3919 0,7.1456 4.3822 0,7.1667 4.3783 0,7.1803 4.3778 0,7.2036 4.3806 0)))"
"2353.96","6100040","MULTIPOLYGON Z(((45 1.858 0,45 0 0,42.892 0 0,43.003 0.1244 0,43.1353 0.2694 0,43.2272 0.3611 0,43.2478 0.3811 0,43.2674 0.4092 0,43.2883 0.4358 0,43.336 0.4789 0,43.4664 0.6247 0,43.4886 0.65 0,43.651 0.7993 0,43.7901 0.9237 0,43.8397 0.9581 0,43.8605 0.9706 0,43.8831 0.9817 0,43.9458 1.019 0,44.0672 1.1336 0,44.1086 1.1742 0,44.145 1.2197 0,44.1742 1.2467 0,44.3436 1.3953 0,44.545 1.5519 0,44.6047 1.5931 0,44.8481 1.7572 0,44.9328 1.8139 0,45 1.858 0)))"
"281506.36","6100045","MULTIPOLYGON Z(((45 0 0,45 1.858 0,45.0042 1.8608 0,45.0378 1.8808 0,45.0669 1.8956 0,45.0889 1.9039 0,45.1247 1.9142 0,45.1331 1.9192 0,45.1983 1.9542 0,45.2418 1.9743 0,45.3678 2.0386 0,45.5432 2.1403 0,45.5822 2.1686 0,45.5858 2.1719 0,45.6878 2.2308 0,45.7878 2.2861 0,45.8942 2.3461 0,45.9267 2.3675 0,46.009 2.4233 0,46.0256 2.4372 0,46.0433 2.4533 0,46.1105 2.5161 0,46.1753 2.5878 0,46.2378 2.6625 0,46.3581 2.7911 0,46.485 2.8953 0,46.5486 2.9542 0,46.7639 3.16 0,46.8769 3.2883 0,47.0169 3.4428 0,47.0458 3.4744 0,47.0894 3.5197 0,47.109 3.54 0,47.1847 3.6311 0,47.2146 3.6667 0,47.2297 3.6825 0,47.3778 3.8153 0,47.4481 3.8785 0,47.5114 3.9572 0,47.5469 4.0125 0,47.5725 4.0492 0,47.5969 4.08 0,47.6569 4.1347 0,47.7075 4.1874 0,47.8719 4.3739 0,47.9243 4.4338 0,47.9511 4.4603 0,48.0006 4.523 0,48.0531 4.6189 0,48.1105 4.7303 0,48.1269 4.7628 0,48.1522 4.8125 0,48.1642 4.8355 0,48.1914 4.8853 0,48.2017 4.9031 0,48.2664 5 0,50 5 0,50 0 0,45 0 0)))"
"1463606.17","6100050","MULTIPOLYGON Z(((50 0 0,50 5 0,55 5 0,55 0 0,50 0 0)))"
"977557.03","6100055","MULTIPOLYGON Z(((55 0 0,55 5 0,60 5 0,60 0 0,55 0 0)))"
"351226.22","6100060","MULTIPOLYGON Z(((60 0 0,60 5 0,65 5 0,65 0 0,60 0 0)))"
"180904.75","6100065","MULTIPOLYGON Z(((65 0 0,65 5 0,70 5 0,70 0 0,65 0 0)))"
"1968053.46","6100070","MULTIPOLYGON Z(((70 0 0,70 5 0,75 5 0,75 0 0,70 0 0),(73.1012 0.2292 0,73.0955 0.2281 0,73.0958 0.2211 0,73.1068 0.2142 0,73.1012 0.2292 0),(73.5136 0.3878 0,73.508 0.3904 0,73.5101 0.3805 0,73.5136 0.3878 0),(73.5505 1.8982 0,73.5542 1.9197 0,73.5533 1.9325 0,73.5515 1.9367 0,73.5419 1.8913 0,73.5505 1.8982 0),(73.3687 2.4076 0,73.3636 2.4231 0,73.3544 2.4372 0,73.3507 2.4381 0,73.3653 2.3842 0,73.3687 2.4076 0),(73.5861 2.9617 0,73.5854 2.9656 0,73.5776 2.951 0,73.5861 2.9617 0),(72.8703 2.9692 0,72.8634 2.9666 0,72.8723 2.9585 0,72.8703 2.9692 0),(72.9822 3.1019 0,72.985 3.1044 0,72.985 3.1083 0,72.9828 3.1108 0,72.978 3.1103 0,72.9739 3.1081 0,72.9728 3.1047 0,72.975 3.1025 0,72.978 3.1017 0,72.9822 3.1019 0),(73.5872 3.3678 0,73.5914 3.3728 0,73.5908 3.3769 0,73.5869 3.3764 0,73.5836 3.3744 0,73.5817 3.3722 0,73.5814 3.368 0,73.5839 3.3664 0,73.5872 3.3678 0),(73.5058 4.1766 0,73.4975 4.1783 0,73.4919 4.1692 0,73.505 4.165 0,73.5058 4.1766 0),(72.9618 4.4287 0,72.9572 4.4383 0,72.9498 4.4397 0,72.9425 4.4259 0,72.9562 4.4193 0,72.9618 4.4287 0),(72.9794 4.8955 0,72.9758 4.9 0,72.9682 4.8783 0,72.9794 4.8955 0)))"
"71072.65","6100075","MULTIPOLYGON Z(((75 0 0,75 5 0,80 5 0,80 0 0,75 0 0)))"
