"species","year","gear_code","quantity"
"AGN",1954,"NK",5.624
"AGN",1955,"NK",3.8808
"AGN",1956,"NK",4.7032
"AGN",1957,"NK",3.144
"AGN",1958,"NK",4.7056
"AGN",1959,"NK",3.5104
"AGN",1960,"NK",4.1
"AGN",1961,"NK",2.45
"AGN",1962,"NK",2.15
"AGN",1963,"NK",6.4
"AGN",1964,"NK",0.75
"AGN",1985,"NK",1.041
"AGN",1986,"NK",0.334
"AGN",1988,"NK",0.157
"AGN",1989,"NK",0.284
"AGN",1990,"NK",0.868
"AGN",1991,"NK",0.334
"AGN",1992,"NK",0.354
"AGN",1993,"NK",0.031
"AGN",1994,"NK",0.134
"AGN",1995,"NK",0.112
"AGN",1996,"NK",0.244
"AGN",1998,"NK",0.234
"AGN",1999,"NK",0.261
"AGN",2000,"NK",0.171
"AGN",2001,"NK",0.138
"AGN",2003,"NK",0.111
"AGN",2004,"NK",1
"AGN",2004,"TX",1.134
"AGN",2005,"NK",3.169
"AGN",2006,"GND",0.037
"AGN",2006,"LL",0.004
"AGN",2006,"TX",0.0419
"AGN",2007,"GND",0.0336
"AGN",2007,"LL",0.058
"AGN",2007,"NK",0.058
"AGN",2007,"TX",0.5547
"AGN",2008,"GND",0.015
"AGN",2008,"GTR",0.028
"AGN",2008,"LL",0.005
"AGN",2008,"NK",0.1193
"AGN",2008,"TX",0.275
"AGN",2009,"FIX",0.031
"AGN",2009,"GTR",0.81
"AGN",2009,"NK",0.03868
"AGN",2010,"GND",0.0622
"AGN",2010,"GTR",1.0104
"AGN",2010,"LL",0.1
"AGN",2010,"NK",0.038
"AGN",2010,"TX",1.2078
"AGN",2011,"GTR",0.5608
"AGN",2012,"GND",0.04458
"AGN",2012,"GTR",0.0054
"AGN",2012,"PTB",0.182
"AGN",2014,"GEN",4
"AGN",2014,"GND",2
"AGN",2014,"LHP",8
"AGN",2015,"GEN",15
"AGN",2015,"GND",6
"AGN",2015,"LHP",7
"AGN",2016,"GEN",17
"AGN",2016,"GND",6
"AGN",2016,"LHP",8
"ALB",1950,"LLS",16740
"ALB",1950,"LTL",39631
"ALB",1951,"GEN",1
"ALB",1951,"LLS",11408
"ALB",1951,"LTL",34166
"ALB",1952,"GEN",1
"ALB",1952,"LLD",61
"ALB",1952,"LLS",22386
"ALB",1952,"LTL",32415
"ALB",1952,"PS",154
"ALB",1952,"UNK",237
"ALB",1953,"GEN",1
"ALB",1953,"LHM",3875
"ALB",1953,"LLD",1094
"ALB",1953,"LLS",23627
"ALB",1953,"LTL",26260
"ALB",1953,"PS",38
"ALB",1953,"UNK",132
"ALB",1954,"GEN",2
"ALB",1954,"LHM",7250
"ALB",1954,"LLD",2823
"ALB",1954,"LLS",25877
"ALB",1954,"LTL",32750
"ALB",1954,"PS",23
"ALB",1954,"UNK",38
"ALB",1955,"GEN",2
"ALB",1955,"LHM",3125
"ALB",1955,"LLD",3336
"ALB",1955,"LLS",21188
"ALB",1955,"LTL",28320
"ALB",1955,"PS",8
"ALB",1955,"UNK",136
"ALB",1956,"GEN",2
"ALB",1956,"LHM",5500
"ALB",1956,"LL",23
"ALB",1956,"LLD",5605
"ALB",1956,"LLS",18235
"ALB",1956,"LTL",35420
"ALB",1956,"UNK",57
"ALB",1957,"GEN",2
"ALB",1957,"LHM",11959
"ALB",1957,"LL",860
"ALB",1957,"LLD",5318
"ALB",1957,"LLS",24117
"ALB",1957,"LTL",30049
"ALB",1957,"NK",1700
"ALB",1957,"PS",83
"ALB",1957,"UNK",151
"ALB",1958,"GEN",2
"ALB",1958,"LHM",17558
"ALB",1958,"LL",1992
"ALB",1958,"LLD",7275
"ALB",1958,"LLS",29729
"ALB",1958,"LTL",33966
"ALB",1958,"NK",2900
"ALB",1958,"PS",8
"ALB",1958,"UNK",124
"ALB",1959,"GEN",2
"ALB",1959,"LHM",18517
"ALB",1959,"LL",5314
"ALB",1959,"LLD",11637
"ALB",1959,"LLS",26673
"ALB",1959,"LTL",30817
"ALB",1959,"NK",2900
"ALB",1959,"UNK",67
"ALB",1960,"GEN",2
"ALB",1960,"LHM",18139
"ALB",1960,"LL",12132.75
"ALB",1960,"LLD",12123
"ALB",1960,"LLS",31387
"ALB",1960,"LTL",33093
"ALB",1960,"NK",1300
"ALB",1960,"UNK",76
"ALB",1961,"GEN",2
"ALB",1961,"LHM",21120
"ALB",1961,"LL",11068.4
"ALB",1961,"LLD",16624
"ALB",1961,"LLS",32647
"ALB",1961,"LTL",20929
"ALB",1961,"NK",1800
"ALB",1961,"PS",7
"ALB",1961,"UNK",268
"ALB",1962,"GEN",2
"ALB",1962,"LHM",21469
"ALB",1962,"LL",23545.83
"ALB",1962,"LLD",18984
"ALB",1962,"LLS",37358
"ALB",1962,"LTL",30969
"ALB",1962,"NK",3000
"ALB",1962,"PS",53
"ALB",1962,"UNK",191
"ALB",1963,"GEN",2
"ALB",1963,"LHM",20739
"ALB",1963,"LL",32361.48
"ALB",1963,"LLD",14149
"ALB",1963,"LLS",26538
"ALB",1963,"LTL",24651
"ALB",1963,"NK",1600
"ALB",1963,"PS",59
"ALB",1963,"UNK",218
"ALB",1964,"GEN",3
"ALB",1964,"LHM",20450
"ALB",1964,"LL",42124.908
"ALB",1964,"LLD",19349
"ALB",1964,"LLS",26240
"ALB",1964,"LTL",28085
"ALB",1964,"NK",1600
"ALB",1964,"PS",128
"ALB",1964,"UNK",319
"ALB",1965,"GEN",3
"ALB",1965,"LHM",20112
"ALB",1965,"LL",44846.918
"ALB",1965,"LLD",13003
"ALB",1965,"LLS",28603
"ALB",1965,"LTL",25572
"ALB",1965,"NK",2200
"ALB",1965,"PS",11
"ALB",1965,"UNK",121
"ALB",1966,"GEN",3
"ALB",1966,"LHM",16757
"ALB",1966,"LL",35111.108
"ALB",1966,"LLD",15431
"ALB",1966,"LLS",51588
"ALB",1966,"LTL",22822
"ALB",1966,"NK",3000
"ALB",1966,"PS",111
"ALB",1966,"UNK",585
"ALB",1967,"GEN",3
"ALB",1967,"LHM",18349
"ALB",1967,"LL",26006.896
"ALB",1967,"LLD",21878
"ALB",1967,"LLS",58208
"ALB",1967,"LTL",30712
"ALB",1967,"NK",2300
"ALB",1967,"PS",89
"ALB",1967,"UNK",520
"ALB",1968,"GEN",3
"ALB",1968,"LHM",13974
"ALB",1968,"LHP",16597
"ALB",1968,"LL",32941.416
"ALB",1968,"LLD",18303
"ALB",1968,"LLS",46226
"ALB",1968,"LTL",24051
"ALB",1968,"NK",2600
"ALB",1968,"PS",267
"ALB",1968,"UNK",1109
"ALB",1969,"GEN",3
"ALB",1969,"LHM",14569
"ALB",1969,"LHP",32148
"ALB",1969,"LL",42731.352
"ALB",1969,"LLD",20253
"ALB",1969,"LLS",38478
"ALB",1969,"LTL",17968
"ALB",1969,"NK",3200
"ALB",1969,"PS",721
"ALB",1969,"UNK",959
"ALB",1970,"GEN",3
"ALB",1970,"LHM",14388
"ALB",1970,"LHP",24485
"ALB",1970,"LL",39454.012
"ALB",1970,"LLD",13374
"ALB",1970,"LLS",48981
"ALB",1970,"LTL",15804
"ALB",1970,"NK",500
"ALB",1970,"PS",317
"ALB",1970,"UNK",517
"ALB",1971,"GEN",3
"ALB",1971,"LHM",15677
"ALB",1971,"LHP",53451
"ALB",1971,"LL",41999.624
"ALB",1971,"LLD",12402
"ALB",1971,"LLS",46025
"ALB",1971,"LTL",24083
"ALB",1971,"NK",500
"ALB",1971,"PS",902
"ALB",1971,"UNK",359
"ALB",1972,"GEN",3
"ALB",1972,"GND",1
"ALB",1972,"LHM",8196
"ALB",1972,"LHP",60691
"ALB",1972,"LL",47147.768
"ALB",1972,"LLD",11986
"ALB",1972,"LLS",47774
"ALB",1972,"LTL",26844
"ALB",1972,"NK",700
"ALB",1972,"PS",287
"ALB",1972,"UNK",744
"ALB",1973,"GEN",4
"ALB",1973,"GND",39
"ALB",1973,"LHM",8834
"ALB",1973,"LHP",68908
"ALB",1973,"LL",46288.76
"ALB",1973,"LLD",22757
"ALB",1973,"LLS",59835
"ALB",1973,"LTL",19245
"ALB",1973,"NK",500
"ALB",1973,"PS",1356
"ALB",1973,"UNK",626
"ALB",1974,"GEN",4
"ALB",1974,"GND",224
"ALB",1974,"LHM",14083
"ALB",1974,"LHP",73676
"ALB",1974,"LL",34214.924
"ALB",1974,"LLD",29461
"ALB",1974,"LLS",39299
"ALB",1974,"LTL",21913
"ALB",1974,"NK",500
"ALB",1974,"PS",174
"ALB",1974,"UNK",957
"ALB",1975,"GEN",6
"ALB",1975,"GND",166
"ALB",1975,"LHM",19733
"ALB",1975,"LHP",52257
"ALB",1975,"LL",30166
"ALB",1975,"LLD",10934
"ALB",1975,"LLS",31180
"ALB",1975,"LTL",10198
"ALB",1975,"NK",500
"ALB",1975,"PS",160
"ALB",1975,"UNK",347
"ALB",1976,"GEN",7
"ALB",1976,"GND",1070
"ALB",1976,"LHM",20227
"ALB",1976,"LHP",85436
"ALB",1976,"LL",42309
"ALB",1976,"LLD",14903
"ALB",1976,"LLS",45022
"ALB",1976,"LTL",14011
"ALB",1976,"NK",520
"ALB",1976,"PS",1156
"ALB",1976,"UNK",435
"ALB",1977,"GEN",8
"ALB",1977,"GND",688
"ALB",1977,"LHM",15625
"ALB",1977,"LHP",32034
"ALB",1977,"LL",42193
"ALB",1977,"LLD",11826
"ALB",1977,"LLS",48789
"ALB",1977,"LTL",18084
"ALB",1977,"NK",483
"ALB",1977,"PS",783
"ALB",1977,"UNK",663
"ALB",1978,"GEN",21
"ALB",1978,"GND",4029
"ALB",1978,"LHM",12001
"ALB",1978,"LHP",59977
"ALB",1978,"LL",37113
"ALB",1978,"LLD",17534
"ALB",1978,"LLS",42260
"ALB",1978,"LTL",25756
"ALB",1978,"LX",385
"ALB",1978,"NK",441
"ALB",1978,"PS",1272
"ALB",1978,"SV",23
"ALB",1978,"UNK",2295
"ALB",1979,"GEN",20
"ALB",1979,"GND",2856
"ALB",1979,"LHM",15817
"ALB",1979,"LHP",44765
"ALB",1979,"LL",34069.286
"ALB",1979,"LLD",17562
"ALB",1979,"LLS",36295
"ALB",1979,"LTL",24276
"ALB",1979,"LX",368
"ALB",1979,"NK",833
"ALB",1979,"PS",349
"ALB",1979,"SV",22
"ALB",1979,"UNK",1758
"ALB",1980,"FIX",0.14
"ALB",1980,"GEN",23
"ALB",1980,"GND",2987
"ALB",1980,"LHM",17523
"ALB",1980,"LHP",46843.05
"ALB",1980,"LL",30124
"ALB",1980,"LLD",13405
"ALB",1980,"LLS",42343
"ALB",1980,"LTL",14665.13
"ALB",1980,"LX",408
"ALB",1980,"NK",503.09
"ALB",1980,"PS",849
"ALB",1980,"SV",25
"ALB",1980,"TM",0.14
"ALB",1980,"TX",0.05
"ALB",1980,"UNK",1636
"ALB",1981,"FIX",63
"ALB",1981,"GEN",25
"ALB",1981,"GND",10350
"ALB",1981,"LHM",16033
"ALB",1981,"LHP",27426
"ALB",1981,"LL",30245
"ALB",1981,"LLD",14430
"ALB",1981,"LLS",47272
"ALB",1981,"LTL",13014.07
"ALB",1981,"LX",456
"ALB",1981,"NK",607
"ALB",1981,"PS",2101
"ALB",1981,"SV",28
"ALB",1981,"TX",1
"ALB",1981,"UNK",1250
"ALB",1982,"FIX",0.05
"ALB",1982,"GEN",152
"ALB",1982,"GND",12515
"ALB",1982,"LHM",19363
"ALB",1982,"LHP",29622
"ALB",1982,"LL",38461
"ALB",1982,"LLD",23859
"ALB",1982,"LLS",43876
"ALB",1982,"LTL",15489.06
"ALB",1982,"LX",609
"ALB",1982,"NK",707.04
"ALB",1982,"PS",2066
"ALB",1982,"SV",37
"ALB",1982,"TX",0.49
"ALB",1982,"UNK",1668
"ALB",1983,"FIX",3
"ALB",1983,"GEN",162
"ALB",1983,"GND",6884.14
"ALB",1983,"HAR",1
"ALB",1983,"LHM",23450
"ALB",1983,"LHP",21103
"ALB",1983,"LL",28837
"ALB",1983,"LLD",19231
"ALB",1983,"LLS",36784
"ALB",1983,"LTL",13718.07
"ALB",1983,"LX",594
"ALB",1983,"NK",758
"ALB",1983,"PS",1471
"ALB",1983,"SV",36
"ALB",1983,"TX",0.09
"ALB",1983,"UNK",879
"ALB",1984,"FIX",0.01
"ALB",1984,"GEN",34
"ALB",1984,"GND",10761
"ALB",1984,"LHM",13838
"ALB",1984,"LHP",26056
"ALB",1984,"LL",29769
"ALB",1984,"LLD",16330
"ALB",1984,"LLS",31277
"ALB",1984,"LTL",13993.28
"ALB",1984,"LX",613
"ALB",1984,"NK",1734.01
"ALB",1984,"PS",5028
"ALB",1984,"SV",37
"ALB",1984,"TX",0.05
"ALB",1984,"UNK",2740
"ALB",1985,"FIX",3
"ALB",1985,"GEN",756
"ALB",1985,"GND",13520.1
"ALB",1985,"LHM",20745
"ALB",1985,"LHP",20716
"ALB",1985,"LL",40460.04
"ALB",1985,"LLD",9132
"ALB",1985,"LLS",38012
"ALB",1985,"LTL",14366.32
"ALB",1985,"LX",638
"ALB",1985,"NK",2741
"ALB",1985,"PS",2783
"ALB",1985,"SV",39
"ALB",1985,"TM",0.28
"ALB",1985,"TX",2
"ALB",1985,"UNK",697.2
"ALB",1986,"FIX",0.01
"ALB",1986,"GEN",18209
"ALB",1986,"GND",9852
"ALB",1986,"LHM",22031
"ALB",1986,"LHP",16108
"ALB",1986,"LL",51370.29
"ALB",1986,"LLD",14505
"ALB",1986,"LLS",41702
"ALB",1986,"LTL",13351.45
"ALB",1986,"LX",670
"ALB",1986,"NK",3314.01
"ALB",1986,"PS",2163
"ALB",1986,"SV",37
"ALB",1986,"UNK",919
"ALB",1987,"FIX",0.01
"ALB",1987,"GEN",14061
"ALB",1987,"GND",7814
"ALB",1987,"LHM",26938
"ALB",1987,"LHP",19114
"ALB",1987,"LL",38423.925
"ALB",1987,"LLD",16662
"ALB",1987,"LLS",33398
"ALB",1987,"LTL",13785
"ALB",1987,"LX",680
"ALB",1987,"NK",4134
"ALB",1987,"PS",2490
"ALB",1987,"PTB",262
"ALB",1987,"SV",38
"ALB",1987,"TX",0.03
"ALB",1987,"UNK",510.09
"ALB",1988,"FIX",0.01
"ALB",1988,"GEN",14484
"ALB",1988,"GND",15213.01
"ALB",1988,"LHM",23629
"ALB",1988,"LHP",6227
"ALB",1988,"LL",25075
"ALB",1988,"LLD",14620
"ALB",1988,"LLS",41694
"ALB",1988,"LTL",15863.02
"ALB",1988,"LX",834
"ALB",1988,"NK",4098
"ALB",1988,"PS",1824
"ALB",1988,"PTB",1693
"ALB",1988,"SV",47
"ALB",1988,"TX",0.06
"ALB",1988,"UNK",485.09
"ALB",1989,"GEN",10668
"ALB",1989,"GND",24978
"ALB",1989,"HAR",0.03
"ALB",1989,"LHM",22768.4
"ALB",1989,"LHP",8643.49
"ALB",1989,"LL",21810.707
"ALB",1989,"LLD",9994
"ALB",1989,"LLS",30147
"ALB",1989,"LTL",19183.05
"ALB",1989,"LX",916
"ALB",1989,"NK",4108.09
"ALB",1989,"PS",2638
"ALB",1989,"PTB",2240
"ALB",1989,"SB",0.27
"ALB",1989,"SV",51
"ALB",1989,"TX",0.06
"ALB",1989,"UNK",709.01
"ALB",1990,"FIX",3
"ALB",1990,"GEN",25740
"ALB",1990,"GND",16918
"ALB",1990,"LHM",24688
"ALB",1990,"LHP",8784
"ALB",1990,"LL",24897.023
"ALB",1990,"LLD",8865
"ALB",1990,"LLS",32170
"ALB",1990,"LTL",17855.202
"ALB",1990,"LX",713
"ALB",1990,"NK",651
"ALB",1990,"PS",2496
"ALB",1990,"PTB",1032
"ALB",1990,"SV",40
"ALB",1990,"TX",1
"ALB",1990,"UNK",659
"ALB",1991,"FIX",2
"ALB",1991,"GEN",9044
"ALB",1991,"GND",7644.113
"ALB",1991,"LHM",12920.7
"ALB",1991,"LHP",7125
"ALB",1991,"LL",27847.099
"ALB",1991,"LLD",17761
"ALB",1991,"LLS",35459
"ALB",1991,"LTL",17090.01
"ALB",1991,"LX",841
"ALB",1991,"NK",580.02
"ALB",1991,"PS",5720.4
"ALB",1991,"PTB",463
"ALB",1991,"SB",2
"ALB",1991,"SV",47
"ALB",1991,"TM",5
"ALB",1991,"TX",1
"ALB",1991,"UNK",842
"ALB",1992,"FIX",11
"ALB",1992,"GEN",2682
"ALB",1992,"GND",7794.735
"ALB",1992,"LHM",19103
"ALB",1992,"LHP",13905
"ALB",1992,"LL",30756.205
"ALB",1992,"LLD",15880
"ALB",1992,"LLS",45551
"ALB",1992,"LTL",14207.01
"ALB",1992,"LX",766
"ALB",1992,"NK",815
"ALB",1992,"PS",10132.9
"ALB",1992,"PTB",2459
"ALB",1992,"SB",54
"ALB",1992,"SV",43
"ALB",1992,"TM",144
"ALB",1992,"TX",0.05
"ALB",1992,"UNK",1805
"ALB",1993,"FIX",0.03
"ALB",1993,"GEN",58
"ALB",1993,"GND",8194
"ALB",1993,"LHM",23264
"ALB",1993,"LHP",12902
"ALB",1993,"LL",31448.942
"ALB",1993,"LLD",17549
"ALB",1993,"LLS",56183
"ALB",1993,"LTL",10768
"ALB",1993,"LX",1136
"ALB",1993,"NK",7
"ALB",1993,"PS",6555.38
"ALB",1993,"PTB",1706
"ALB",1993,"SV",64
"ALB",1993,"TM",73
"ALB",1993,"TX",0.47
"ALB",1993,"UNK",1253
"ALB",1994,"FIX",1.26
"ALB",1994,"GEN",64
"ALB",1994,"GND",8144.346
"ALB",1994,"LHM",21401
"ALB",1994,"LHP",26537.088
